,Unnamed: 0,sentence,label
81,81,اتل متل توتوله سحر تتل چطوره نه شیر داره نه پستون تتل شده استخون بسکه تتل جق زده مو تو سرش‌تر زده حواست باشه دختر نشی اونجا در به در چی تو تتل دیدی داری پزشو میدی,"""تنفر"""
82,82,دوستان عزیز هم اکنون اهو,"""غیرتنفر"""
83,83,صورت نیگرانو خاموش و مریض که گم شده بود زیر یک ارایش غلیظ,"""غیرتنفر"""
84,84,چرا انقدر حالم ازت بهم میخوره,"""تنفر"""
85,85,سلام سحر جان مبارکه عزیزم ولی کاش قبل بله گفتن با منم مشورت میکردی ولی بازم مبارکه عشقم,"""غیرتنفر"""
86,86,این فقط با شاطر نونوایی نبوده,"""تنفر"""
87,87,دهشدنت مبارک انشالله میلیاردی شدنت,"""غیرتنفر"""
88,88,بابا خوانندش کیه نموده شدم پیدا نمیکنم,"""غیرتنفر"""
89,89,با تتلو بچه درس کنین بزا مادر زادی بچه رنگو به رنگ شه,"""تنفر"""
90,90,انقد حشرت بالا بود تا ترکیه رفتی که لنگارو بدی بالا اینجای یا سیرت نمیکردن,"""تنفر"""
91,91,سحر قریشی از زمانی که شورت تنش کرده بود انقدر کامنت نگرفته بود,"""تنفر"""
92,92,دختر مو بلند گلی از گل‌های بهشته,"""غیرتنفر"""
93,93,دوست پسر منو کو کسی ندیدتش,"""غیرتنفر"""
94,94,دلم یه عالمه پول میخواد,"""غیرتنفر"""
95,95,واقعا با تتو ازدواج کرده,"""غیرتنفر"""
96,96,سلام چشمه راستت میبینه نه کله فندقی کمونیست کافر شیطان دیگه چیکسی که اهمیت نمیده مامانش چی میخوره کجامیخوابه این انسانه یاخیلی چیزاتو معروفی نیاز به دنیا جهان بخت بازی نداری امین ام غیرتش خیلی بیشتر سلطانه چرته دلم به حالت نمیسوزه هااصلا من مامانه خودم هم نجات نمیدم اون دنیاولی چپ منظم تره پرنسس فیونا این شرک نیست که دنبالشی این ریده تو آلبوم آخرش پیرشده حاشیه‌ای بهتر شما پیدا نکرد با احترام نه به شما به انسانیتمیزارمامیدوارم مثله همه نشه باهات بعده یه مدت دیگه مریضه دسته خودش نیست,"""تنفر"""
97,97,خنده دارین واقعاپول انقدرام ارزش نداره که دارین به این راحتی شرف و عزت واسش میدین والا که عزت و شرف گرون‌ترین دارایی یک انسان البته فک نکنم شما این چیزا رو بفهمید خانم نادان,"""تنفر"""
98,98,شوهرمو آخر پیدا نکردم اشکال نداره خدا بزرگه,"""غیرتنفر"""
99,99,شب بخیر همگی کرکره کامنتو میبندم,"""غیرتنفر"""
100,100,همین رفتار خودت باعث شده که هر بر چسبی رو بهت بزنن سنگین باش سحر خانوم سبکارو باد میبره عمویی اخه تو با این خوشگلی حیف نیس بری با اون تتلوی روانی برو گذشته‌ی تتلو رو یه مروری بکن ببین خودش کی و خانوادش چکاره بودن ای دادبیداد,"""تنفر"""
101,101,حالا صحت داره یانه یه ماه دیگه نگین شوخی بودش,"""غیرتنفر"""
102,102,اقا یکی بگه راسته تتلو و سحر یا نه,"""غیرتنفر"""
103,103,میگم سحرقریشی انصافا تو چرا به هیچ مردی نه نمیگیخداشاهد من حرصم میگیره که رو در رو ندیدمت بهت درخواست بدم که به منم نه نمیگفتی از این حال هوا درت میاوردم این همه راه نری رنگی بشی,"""تنفر"""
104,104,تتلو چی داره که مهدی نداشت,"""تنفر"""
105,105,تتلو که ساله دوست داشت چی شد,"""غیرتنفر"""
106,106,پیج اصلی تتلو چی هستش اونایی که بلدن میشه بگن ممنونم,"""غیرتنفر"""
107,107, هر کسی حساب کارش دست خودشه,"""غیرتنفر"""
108,108,فازت چی بگو هم فازت شیم کسگم,"""تنفر"""
109,109,جان تو و جان تتل هرچند تتل حریف دنیا شد ولی حریف تو یکی نمیشه تو از قریش هستی قریشی,"""غیرتنفر"""
110,110,کیر ممد چاخان تو لنگت,"""تنفر"""
111,111,منتظر بعدی باشیم یا زودهجواب بدین,"""غیرتنفر"""
112,112,من اومدم بینم تو کامنتا کسی از زیر زبونش چیزی نکشیده بیرون واسه داستان تتلو,"""غیرتنفر"""
113,113,واقعا روت شد با کسی مثل تتلو دوست شی حداقل ی ادم درست انتخاب میکردی,"""تنفر"""
114,114,حسودا چرا انقدر با فش و عقده‌ای بازی خودتون و خالی میکنید چقدر بده ک انقدر جامعه حسود و عقده‌ای داریم,"""غیرتنفر"""
115,115,آخرش نفهمیدییم زن تتل شده یا نه,"""غیرتنفر"""
116,116,خداییش خیلی کثیفی خب اگه تو دلت کیر می‌خواست خیلی‌ها بودن تو ایران بهت میدادن تو کونت خداییش خیلی میخاره و دنبال حاشیه هستی البته این حاشیه‌ها دنبالش پولم هست مطمئنا وگرنه الکی که برا خودت حاشیه درست نمیکنی طفلکی اون شوهرت ازن حق داشت جدا شه می‌دونست چه کثافتی هستی,"""تنفر"""
117,117,خب اخه اگه دلت کیر میخاست خیلی‌ها بودن تو ایران حتی همین بازیگرای ایران مجرد‌ها شون باهات راه میومدن و باهات حال میکردن و بین خودتون تا ابد می‌موندچرا رفتی پیش تتلو اخهاخه دوست داری ابرو تو ببری,"""تنفر"""
118,118,و در اخر قدر دلربا بودنتو بدون,"""غیرتنفر"""
119,119,خیلی خوشگلی ولی ذات نداری جیندایی جیندا ملتم که جیندا پسند,"""تنفر"""
120,120,خره میزنه نفت دربیاد‌ها,"""تنفر"""
121,121,چی به ما میرسه اخه هر ادمی تو زندگیش حق انتخاب داره اخه چرا جو سازی میکنید مگه یه انسان نباید واسه زندگی شخصی خودش تصمیم بگیره تا کی باید دنبال حاشیه سازی واسه همه هنرمندامون فوتبالیستامون باشیم بسه این همه جو سازی,"""غیرتنفر"""
122,122,تتل کو تو عکسهات نیست خوب لاک میزدی واسه تتل,"""غیرتنفر"""
123,123,راستی از اون داداش غیرتیت چه خبر جنگ سوریه رو تموم کرد مهدی طارمی دزد بیت المال بود درسته حالا امیر تتلو آیت الله شده فقط کاش میدونستیم تو سر شما احمق‌ها چی میگذره طارمی دزد بود تتلو شده حجت خدا در روی زمین آره جنبه نداشتی البته کرم تو وجودته دست خودت نیست سال دیگه میبینیم مث سگ به گوه خوردن بیفتی البته اگه تا اون موقع زنده بمونی و با تتلو سنکوپ نکنید,"""تنفر"""
124,124,قاسم پور بهتر بود یا تتلو,"""تنفر"""
125,125,چن وقت پیش نگا کردم میلیونو هزار فالور داشتی الان شده میلیون لامصب چقد ریزش داره تو ک پولداری فالور خوب میزدی کم ریزش,"""تنفر"""
126,126,بهونه ایی شد واسه یاد رفیق‌های قدیمیاینم قشنگ بود,"""غیرتنفر"""
127,127,باهاش کات کنی فیلم سکس تونو پخش میکنه دهنت سرویسع,"""تنفر"""
128,128,فقط مونده بود زیر امیر تتلو بخوابه ک خداروشکر خوابید,"""تنفر"""
129,129,خوب واسه تتل بخوریش سحر جان,"""تنفر"""
130,130,رفیقت تتلو چی شد یه دس دادی تموم,"""تنفر"""
131,131,حیف تو نیست رفتی پیش این تتلو حالم ازش بهم میخوره با اون خالکوبی هاش,"""تنفر"""
132,132,حیف تو نیست با این تتلو حالم ازش هم میخوره با اون خالکوبی هاش,"""تنفر"""
133,133,ماشالا سلطان چه چیزی رو طور کرده یه من,"""غیرتنفر"""
134,134,تتلو با همه تیک زد رف با سحر قریشی به نظر تتلو میخاد کل دخترای ایرانو گول بزنه ب مولا چون عقده داره,"""تنفر"""
135,135,سحر خانوم ماشاالله چقدر خوشگلی شما انشالله همیشه سالم و سلامت باشید و به هر چی که میخواین برسید,"""غیرتنفر"""
136,136,تتل چ کامی از این میگیره,"""غیرتنفر"""
137,137,رفتی پیش تتل بگو سام بادی گیومی,"""غیرتنفر"""
138,138,وای  میلیونی شدی تتلو ببین چه موجزه‌ای میکنه,"""غیرتنفر"""
139,139,صبح بخیر کرکره کامنتو بدیم بالا,"""غیرتنفر"""
140,140,مبارک باشه سحر امیدوارم خوشبخت بشی,"""غیرتنفر"""
141,141,میگه نچرالم و حتی ژلم تزریق نکردمولی چرا حس میکنم نه یه زره خیلی خیلی قیافش عملیهتازهسالشم هس یه چروک نباید میوفتاد تو صورتش,"""تنفر"""
142,142,شوهرمو کی دزدیده داره باهاش پز میده,"""غیرتنفر"""
143,143,چیکار ب ازدواجشون دارین حاجی مگه جرمه مگه حتما یه نقشه‌ای پشت کاراشون باید باشه,"""غیرتنفر"""
144,144,تو که میگفتی در مرام من نیست و اینا چه زود خراب شدی,"""تنفر"""
145,145,شو جدید برا پول و فالوور جمع کردن,"""تنفر"""
146,146,فقط حواستو جمع کن تتلو معتادت نکنه,"""غیرتنفر"""
147,147,سحر واقعی رفتی ترکیه واقعا مگه ایران چشه که رفتی ترکیه,"""غیرتنفر"""
148,148,با امیر تتلو ازداوج کردی,"""غیرتنفر"""
149,149,شاید خدا خواسته حاج خانوم تتل بشی,"""غیرتنفر"""
150,150,تسلیت میگویم همکارت زهره فکور فوت کرد,"""غیرتنفر"""
151,151,گل دادن کشیدی کردنت یا کردنت گل کشیدی نسناس,"""تنفر"""
152,152,گفتم پورن بازی کنی بزودی تبلیغ افزایش سایز بکنی,"""تنفر"""
153,153,واقعا سحر  ملیون فالور از کجا آورده,"""غیرتنفر"""
154,154,اما سحر قریشی نمونه واقعی زلیخا یامان تو چوکورواست کلا دلش اقیانوسه همه توش جا میشن,"""تنفر"""
155,155,خره سحر توام خودکشی کن انقد برات استوری میزارن اگ بمیری بازیگران,"""تنفر"""
156,156,مگه شوهر تو ایران نبود رفتی اونجا با اینجور ادما ازدواج کردی,"""تنفر"""
157,157,شوهر کیلو چنده جدی نگیرید,"""غیرتنفر"""
158,158,آدم باید تو زندگیش یه سمیرا داشته باشه,"""غیرتنفر"""
159,159,عشق من خااله سحر بخورمت من,"""غیرتنفر"""
160,160,چرا ممد فلاحی تنها گذاشتی ,"""غیرتنفر"""
161,161,میگم تتلو میزنه نفت در میاد,"""تنفر"""
162,162,میومدی یه دفتر نقاشی میدادم دستت,"""تنفر"""
163,163,خو کامنت‌ها رو خوندیم تمام الان برید دیگه,"""غیرتنفر"""
164,164,من اخر نفهمیدم رل ایشون کیه,"""غیرتنفر"""
165,165,دختر باید مو مشکی باشه,"""غیرتنفر"""
166,166,شوخی کردم بابام نمیزاره موهامو رنگ کنم,"""غیرتنفر"""
167,167,سلام مردم عزیز لطفا گول شایعاتی که درست میکنن رو نخورین یه مشت بیکارن میشینن چرت میگن حتی اینقدر خنده دار عکساشو فتوشاپ میکنن که خندم میگیره حتی عرضه فتوشاپ رو هم ندارم شما چطوری حرفاشونو باور میکنید خانم قریشی سوپر استار ایران هست و باقی خواهد ماند و با هیچ شایعه‌ای برای ما کم رنگ نمیشن بیخودی تلاش نکنید,"""غیرتنفر"""
168,168,خوشبخت بشی سحر با امیر تتلو,"""غیرتنفر"""
169,169,اون موقه که اون ممهات خوشگل سفت بود,"""تنفر"""
170,170,واسمون بت هس توم حواست ب تتلمون باشه,"""غیرتنفر"""
171,171,قشنگ مشخصه اینجا تتل بد زده بهت حالنداری واقعا پای اون دفتر نقاشی پلشتو لاک میزدی خاک,"""تنفر"""
172,172,از خودتون حرف در نیارید شاید ازدواج نکرده کرده باش هم مبارک باشه,"""غیرتنفر"""
173,173,تتلو باور نکردم من طرفدار شم به پای هم پیر شید,"""غیرتنفر"""
174,174,آدم باید یه دختر مو بلند تو زندگیش باشه,"""غیرتنفر"""
175,175,امیدوارم کنار سلطان امیر بزرگترین و بهترین اتفاقات براتون حاصل شه طبیعت تگهدارتون,"""غیرتنفر"""
176,176,طارمی گل زن بود تتلو هم گل میزنه,"""غیرتنفر"""
177,177,خونه تتل خوش گذشت ناهارو زدی انشاالله مینی بوس و اتوبوس کردی برگشتی,"""تنفر"""
178,178,پویان نجفی گوش میدی پس تتلو چی شد,"""غیرتنفر"""
179,179,تتلو گاییدتت ماشالله برو الان باید بری براش لاک بزنی,"""تنفر"""
180,180,سحر مال مهدی بهتر بزرگ تره یا امیر,"""تنفر"""
181,181,مطمئنم که تتلو اولیه هرکی موافقه لایک کنه,"""غیرتنفر"""
182,182,جریان سحر قریشی و تتلو چیه دقیقا کسی میدونه برام توضیح بده دمش گرم,"""غیرتنفر"""
183,183,لامصب فیلم بزار دیگ از خودت ببینیم چیکار میکنی,"""غیرتنفر"""
184,184,حکم جقی برا امیر تاریخ ثابت کرده میکنه ول میکنه,"""تنفر"""
185,185,زشته برا دیده شدن و کمبودت اینکارا,"""تنفر"""
186,186,تتلو شوهر بدیه بد می‌کنه,"""تنفر"""
187,187,حد و اندازت از قبل مشخص بود که دو زاری هستی,"""تنفر"""
188,188,آخه مگه داریم بهتر از مهر ماهی‌ها,"""غیرتنفر"""
189,189,قبل از رل چقدر بود فالوراشالان تا شد,"""غیرتنفر"""
190,190,پیج اصلی تتلورو کسی دار اگ دار بفرسته فالوش میکنم,"""غیرتنفر"""
191,191,پیج تتلو کی داره بفرست,"""غیرتنفر"""
192,192,برگرد نیسان ابی تمام شه,"""غیرتنفر"""
193,193,تتلو دنیا جهانبخت رو گاییده حالا نوبت تویه,"""تنفر"""
194,194,کیر تتلو تتو دارهمینی بوس زده راست میکنه میره تو کصت اتوبوس میشه,"""تنفر"""
195,195,سحر قریشی وه تتلو ازدواج میکنند,"""غیرتنفر"""
196,196,توروخداتویکی دیگه خودکشی نکنی باحاشیه هایی که پشتته,"""غیرتنفر"""
197,197,هرکسی حق انتخاب حق زندگی داره در لحظه زندگی کن,"""غیرتنفر"""
198,198,سلام خانم قریشی من این چند وقت که شما تحت فشار بودید کلی اذیت شدم خداییش خیلی تحملتون بالاست من به سهم خودم عذر میخوام نه بخاطر اینکه بازیگرید فقط چون ماها ایرانیها برای دیده شدن خودمون هر کاری,"""غیرتنفر"""
199,199,من جات بودم تاالان ی بلایی سرخودم اورده بودم,"""تنفر"""
200,200,این چرا لباش عین کون مرغ کرده,"""تنفر"""
201,201,سحر نرو اگه تو بری من جواب قریش و چی بدم آبروی قریش در خطر است,"""غیرتنفر"""
202,202,تتل تو خوابم نمیدید جوابشو بدی رفتی تو بغلش هول,"""تنفر"""
203,203,اگر انسانی انسانی رو به خاطر گناه یا اشتباهی قضاوت کندنمیرد تا خودش به آن دچار شودامام صادق,"""غیرتنفر"""
204,204,آخه تو چی داری که ده میلیون فالوور داری به قرآن من یه دختر افغانی هست تو محلمون از تو خشگل تره,"""تنفر"""
205,205,حالا که کامنتاشو باز گذاشته شما هم شخصیت داشته باشید اینقدر مزخرف ننویسد تو پیجیش هر کی رو با اعمال خودش میسنجند جای کسی هم قضاوت نکنید,"""غیرتنفر"""
206,206,چرا اینقدر ضعف تو چشاته,"""غیرتنفر"""
207,207,تتلو تو رو هم گایید,"""تنفر"""
208,208,هیچ عیبی نداره عزیزوم درست میشه همه چی,"""غیرتنفر"""
209,209,هیچ عیبی نداره عزیزوم درست میشه همه چی,"""غیرتنفر"""
210,210,تح کون را آخر بای دادی بدم بای دادی,"""تنفر"""
211,211,یه جوری قضاوت می‌کنید انگار خودتون پیامبر اولول عرضید باو بسه ناموسا این عقده بازیاتون کی تموم میشع فقط کافیه یه چیز بفهمید حاشیه و قضاوت و پروند واسه طرف صادر میکنید همه شدن جدیدا خدا کی می‌خواید بفهمید زندگی هر کس به خودش مربوطع دخالت نکنید ازش بدتون میاد دنبالش نکنید مجبور نیستین این کامنتا چرت و پرت رو مزارید جدیدا همه جا خدا تصمیم میگرن,"""غیرتنفر"""
212,212,به این چیزا باور نکنید دوستان همونجور ک تا چند روز پیش یه چهره دیگه از هالک ایران تو ذهنتون بود یه دفعه همه فتوشاپ بود پس شک نکنید ک این داستان‌ها هم فتوشاپ هست وگرنه خانم قریشی خیلی باشخصیته اگه خبری بود ایشون اعلام میکردن بیایید تا چیزی ک واقعی به چشم خود ندیدیم جار نزنیم,"""غیرتنفر"""
213,213,مردم به خاطر فالور با چه کسا که رل نمیزنن و چه گهی که نمیخورن,"""تنفر"""
214,214,دلخوش به هموطنات نباش دلخوش به وطنت نباش برنگرد,"""غیرتنفر"""
215,215,امید وارم روزی برسد که از قضاوت‌های نادرست بکاهیم و اندکی به عواقب تهمت هایی که به دیگران میزنیم بیندیشیم چه زندگی‌ها که با سخنان پوچ و بیهوده ویران کردیمبه امید جهانی زیباتر و بدور از قضاوت‌های نادرست,"""غیرتنفر"""
216,216,خدایی یه سوال دارمحالت به هم نمیخوره تو صورتش نگاه میکنی با اون قیافه آفتابپرستی که ساعته واسه خودش,"""تنفر"""
217,217,بهبه کی با سلطان تتل میرین تو اتاق شایدم رفتین با هم عشق و حال,"""تنفر"""
218,218,دنیا جهانبخت فقط باخواننده‌ها رل میزنهترلان پروانه فوتبالیستهاولی این سحر قریشی کل اصناف رو پوشش میده,"""تنفر"""
219,219,این سحر قریشی تموم اصناف رو پوشش میده,"""تنفر"""
220,220,تو اغوش تتلو شبا خیلی خسته میشی بگو با کاندوم بزنه‌ی وقت ایذر نگیری,"""تنفر"""
221,221,با اینکه پرحاشیه هستید ولی چقدر طرفدار داریدموفق باشید,"""غیرتنفر"""
222,222,من براش مهدی طارمی بودم ولی اون تتلو دوست داشت,"""غیرتنفر"""
223,223,تومگه همکارت فوت نشده چرا تسلیت نذاشتی,"""غیرتنفر"""
224,224,آخه این همه آدم لاشی‌تر از تتلو هست فرق میکنه واسه تتو فحش دادن این چیه افتخاره از اون اولم دورو بودمیخوای ایران نباشی مشکلی نیس برو ی کشور دیگه بی حاشیه زندگی اصلا فیلم بازی مثل کلشیفته ولی این جوری نه این اینستا چیه این فلوور اصلا فک کن  میلیون فالوور داری آخرش چی این دنیا دود گذر و موقت ارزش نداره,"""تنفر"""
225,225,یعنی لاس‌تر و جنده‌تر تو نیس,"""تنفر"""
226,226,خانم فکور فوت شد بدنیس یه استوری بزاری دلنوازان که یادته,"""غیرتنفر"""
227,227,ارزوی خوشبختی برات دارم بهترین بازیگر,"""غیرتنفر"""
228,228,یه تنه گند زدی به یه سریال,"""تنفر"""
229,229,خدا لعنتت کنه که نیسان آبیا گند زدی توش,"""تنفر"""
230,230,ما فالوت کردیم که حداقل یه لایو با عمو تتل بزاری دیگه,"""غیرتنفر"""
231,231,خفه بشین بسه دیگه خانم فکور صبور از دست شماها خودشو کشت خانم نامداری خودشو به خاطر شماها کشت اون زبونهای گندتونو بکنید تو حلقومتون که باعث مرگ بقیه شده ننگ به شماها اشغالهای حسود,"""تنفر"""
