,0,1
33,چقد بده پنجشنبه تو خونه باشی,"""غیرتنفر"""
34,کوفتش بشه تتلو اخه موندم از چی تتلو خوشت اومده,"""تنفر"""
35,اقا مبارکا باشه خبرتون رسید تیک زدیدا این دفعه جدی جدی بود دیگه بگید تتل قریشی,"""غیرتنفر"""
36,چرا ما رو صحنه سازی درست میکنید,"""غیرتنفر"""
37,ب پستات نمیخوره ادم حقیری باشی ک با نجاستی مث تتلو حتی کوچکترین ارتباطی داشته باشی,"""تنفر"""
38,طلبه‌ی بشکه‌ای خیلی مهمه بشکه یادتون باشه,"""تنفر"""
39,نساز‌ترین زن‌ها زنان ایرانن,"""تنفر"""
40,یه مشت بیسواد تو مملکتن,"""تنفر"""
41,این تتل دیگه طارمی نیست هاتتل چنان میزنه که نفت دربیاد,"""تنفر"""
42,مبادا گیج بشی‌ها بری لیست ریحانه و,"""غیرتنفر"""
43,نیسان ابیو خیلی خوب بازی کردی خواستم بگم حتی تو فیلماام خرابی,"""تنفر"""
44,دیوث تتلو چ چیزایی تور میکنه ببینم سحرم مثل دنیا جهانبخت فیلم ساک زدنش برا تتلو میاد بیرون,"""تنفر"""
45,از تتلو چه خبر حاج خانوم,"""غیرتنفر"""
46,چطور میشه تو دو دقیقه  هزار تا لایک,"""غیرتنفر"""
47,طارمی و اتل و متل و تتل,"""غیرتنفر"""
48,مست پارس قیافشو ببین تاموسن,"""تنفر"""
49,سحر قریشی تو چرا به هیچ مردی نه نمیگی قدرت نه گفتن نداری کلا,"""تنفر"""
50,به هم میاین عشقتون جاوید,"""غیرتنفر"""
51,این چی داره ک تو عاشق این شدی رفته عاشق شیطان شدم خاک توی سر ت سحر لوده,"""تنفر"""
52,بدبخت بی اصالت فقط دنبال پولهبقول شوهر اولت یه پروانه نباید یادش بره که روزی کرم بوده,"""تنفر"""
53,پیج تتلو رو یکی بده,"""غیرتنفر"""
54,خیلی بهم میاین بهترین کارو کردین,"""غیرتنفر"""
55,روز فرشته روی زمین مبارک,"""غیرتنفر"""
56,تتلو چطور میزنهنفت در نیومده هنو,"""تنفر"""
57,حواست باشه این تتلو میگیره میکنه ول میکنه گولش خوردی,"""تنفر"""
58,عزیزم هر دوتونو دوست دارم خوشحال باشید,"""غیرتنفر"""
59,اینم میخواد مثل دنیا جهانبخت حامله شه,"""تنفر"""
60,دیگه هیچ چیز از هیچکس بعید نیس,"""تنفر"""
61,اگه این حرفه راس باشه الحق که یه کله پوک مثل خودشی البته من که وزدونم دروغه چون باید دیگه خیلی پوک باشی,"""تنفر"""
62,بعد جدایی تتل جزئیات و ریزه کاریاتو برملا میکنه,"""تنفر"""
63,بعده تتلی منو هم گول بزن,"""تنفر"""
64,آرامش چاشنی عشقتون باشه ,"""غیرتنفر"""
65,مبارکه حاجیه سحر خانوم و حاج امیر,"""غیرتنفر"""
66,آخ اگه یه نظرسنجی تو ایران بزارن آیا از سحر قریشی بدتون میاد یا نه درصد میگن آره پس برو گمشو از این مملکت که یه وقتی منقلب نشی,"""تنفر"""
67, بیا پایین بیا پایین,"""غیرتنفر"""
68,ی سری آدما قرار ی سری دیگه رو سرگرم کنن و جنجالی بشن و حاشیه سازی کنن توجه‌ها بره سمت این لمپنای هرزه تا نفهمیم تو مملکت چی میگذره اینا نماینده همچین سیستمی هستن,"""تنفر"""
69,دختر باید مو مشکی باشه,"""غیرتنفر"""
70,قدر گل را گل شناس شناست قدر گوهر را گوهر شناس,"""غیرتنفر"""
71,از تتلو تتلو پست بزار عشقم,"""غیرتنفر"""
72,ولی ویو هاش اصلا به فالوراش نمیخوره,"""غیرتنفر"""
73,سلام سحر قریشی هستم هم از عقب میدم هم از جلو سوراخی  و نیم یک کلام مقطوع,"""تنفر"""
74,بهترین زوج ایشالله همیشه در کنار هم با عشق زندگی کنین و پیشرفت هم رو ببینین فرشته مهربون,"""غیرتنفر"""
75,نکن اینکار رو خانم قریشی خودت رو نبر زیر سوال,"""غیرتنفر"""
76,خوبیه تتلو اینه هرکجاشو کبود کنی معلوم نمیشه بخاطر تتوهاش,"""غیرتنفر"""
77,صورت ب اون قشنگی رو ببین چکارش کرد,"""تنفر"""
78,پر رو شما آخوندهای مفت خورین نه ما قشر فرهنگی,"""تنفر"""
79,هیچ پستی را جب تتلی نمی‌زاری,"""غیرتنفر"""
80,این زوج رو که میبینم یاد جشواره فجر میوفتم,"""غیرتنفر"""
81,خدا لعنتت کنه سینا این مسولین کودنو چرا این قد مسخره میکنی,"""تنفر"""
82,اینها حرف نمی‌زنند زر و گوه می‌خورند,"""تنفر"""
83,ریدم به شاشیدم به انتخابت آدم روش نمیشه قیافه تتلو ببینه این عاشق اون شدهفقط منتظرم تولتو ببینم,"""تنفر"""
84,خدا لعنت کنه هرکسی رو که تلگرام رو فیلتر کرد,"""تنفر"""
85,لاشی چرا به یکتا ناصر خیانت کردی,"""تنفر"""
86,فازتو از ازدواج با تتلو فق میخام بدونم,"""تنفر"""
87,لیاقتت همین تتلو بیش نیس خاک تو سرت تو که میخواستی شوهر کنی یه شوهر جنتلمن با شخصیت انتخاب میکردی آخه این چرند چیه تنها افتخارش اینه فوش ناموسی بده با قیافه‌ای عجب وجغش,"""تنفر"""
88,پوزه اخوند هارو بده به خاک,"""تنفر"""
89,این مگه از بودن با اقایون منقلب نمیشد,"""تنفر"""
90, نه با خودت حال می‌کنم نه با شوهرت فقط بازیگر عالی هستید تمام,"""تنفر"""
91, تا ابله در جهان است مفلس در امان نیست,"""تنفر"""
92,بانوی فوق العاده زیبا و باشخصیت و جذاب و بینظیر و بزرگوار امیدوارم همیشه تو اوج سلامتی و موفقیت و شادی و آرامش باشید و همیشه و هر لحظه از زندگیتون سرشار از معجزات الهی و سورپرایزهای خاص و ویژه خداوند باشه چون لایق و شایسته بهترینها هستید در پناه حق یاعلی,"""غیرتنفر"""
93,انقد مهربون که پای گربه گچ می‌گیرین ولی چرا لباس پوست پوشیده بودید عاخه,"""غیرتنفر"""
94,چی میشد سحر یک سر به منم میزدی کمتر از امیر نمیدم قول قول,"""تنفر"""
95,دو زوج بسیار دوست داشتنی,"""غیرتنفر"""
96,حالا یک حالا دو حالا سه حالا چهار حالا پنج حالا شش حالا هفت هفته‌ها هم بگذره یکی عین خودش و پیدا میکنه تو هم عین خودتو پیدا کردی,"""غیرتنفر"""
97,خدا لعنتت کنه خانم اسماعیلی پولای جمشید بدبخت و کشیدی بالا بخورونی به این تتلوخدا رو خوش نمیاد این پولا خوردن نداره,"""تنفر"""
98,از بس مفت میخورند شکمشون داره میترکه,"""تنفر"""
99,موفقیت وخوب بودن برای شما اجباریس بانوی آریایی,"""غیرتنفر"""
100,انشاالله هر که هرجوره خدا سر راهش مثل خودش قرار بدهبه نظرم بهترین دعاست,"""غیرتنفر"""
101,عی دهنت سرویس سینا ادم نمیشی تو مادرقبه,"""تنفر"""
102,هواداران موفنگی و معتاد تتلیتیونیاتیا,"""تنفر"""
103,به همین زودی پورن بازی کنی تبلیغ افزایش سایز باهات میگیرنناامید نباش و محکم ادامه بده,"""تنفر"""
104,من روزی چنددفعه میام سرمیزنم شماچی,"""غیرتنفر"""
105,هرجا و با هرکسی هستی خوشبخت و سلامت باشی عزیزم,"""غیرتنفر"""
106,کیوت‌ترین و در عین حال گنگ‌ترین زوج ایرانی عشق باشه تو خونتون همیشه,"""غیرتنفر"""
107,دوستم این کامنتا چجوری ابیی هستن برای من سفیدعع کامنتمم,"""غیرتنفر"""
108,چشمبد ازتون دور دوست داشتنی‌ها,"""غیرتنفر"""
109,قیمه عاشوعا تاسورا هیچوقت به رئیسی نرسیده براش عقده شده ک نخورده,"""تنفر"""
110,پدر مادر سینا هم عربستان و اسرائیله اینم بگو,"""تنفر"""
111,این یارو پدر فیلترینگ نیست فرزندنامشروع حاصل از رابطه غیرشرعی و اخلاقی مادرشمادرفیلترینگ با کارکنان واتسآپ و تلگرام و اینستاگرام هستن,"""تنفر"""
112,اره خوب هیچ کس حس طلبکارانه نداشته باشه جز اخوند اونا باید مملکتو به حراج ببرن بقیه سکوت,"""تنفر"""
113,آقا من هنوز باور ندارم سحر رفت چیش تتلو,"""غیرتنفر"""
114,اقا منتظر بچه بعدی باشیم,"""غیرتنفر"""
115,یه جفت کراش در تصویر موجود است,"""غیرتنفر"""
116,امیدوارم به زودی خبر مرگ تو رو بشنویم,"""تنفر"""
117,دردو بلای اوناییکه کامنتمو لایک میکنن بخوره تو سر اوناییکه کامنتمو لایک نمیکنن,"""تنفر"""
118,مردم به خاطر فالور با چه کسا که رل نمیزنن و چه گهی که نمیخورن,"""تنفر"""
119,توی مملکتی که معلم رو زیاده خووه و پررو مینامند باید فاتحه اون مملکت رو خوند برید تحقیق کنید ببینی کشور‌های خارجی چقدر به معلم هاشون اهمیت میدن اونا فهمیدن ک اگه معلم سقوط کنه یه جامعه رو میتونه با خودش به سقوط بکشونه چرا که معلمان یک کشور وظیفه تربیت و انسان سازی اون کشور رو بر عهده دارهواقعا جای تاسف داره ک معلم در کشور ما انقدر کم ارزش به حساب میاد,"""تنفر"""
120,بمیرم که آنژیوکت توی دستشه,"""غیرتنفر"""
121,عروس مادرتون حوصلش سر رفته,"""غیرتنفر"""
122,وقتی یه بیسواد جهان سومی میشه سخنران بیشتر ازین ازش انتظار نمیره,"""تنفر"""
123,ای خدا چه پیشی خوشگلی,"""غیرتنفر"""
124,سحر آبجی راست گفتن واز باتتلو میگردی,"""غیرتنفر"""
125,آخرش نفهمیدییم زن تتل شده یا نه,"""غیرتنفر"""
126,زندگی بدونه سمیرا خر است,"""غیرتنفر"""
127,ساعت عدالت برای مزدوران عقب ماندهبی شرف و جانی خدمتگزار به اشغالگران جنایتکار جمهوری اسلامیبسیار نزدیکهبه زودی در آتش خشم ما مردم ایرانبا زجر و دردی تاریخیخواهید سوخت و بد تاوانی در انتظار شما عقب ماندگان بی وطن است,"""تنفر"""
128,بزار طلاقتو از جمشید قاسم پور میگرفتی بعد میرفتی سراغ تتلو,"""تنفر"""
129,آیا به شما ناهار دادن,"""غیرتنفر"""
130,خدا شکر نوید یکی مثل خودش گرفت فراموشت نمی‌کنم اموختی ارزو به واقعیت می‌رسد,"""غیرتنفر"""
131,مایه ننگمونن کلی تاثیر منفی هم توجامعه گذاشتن چهل سال تلا ش کردن همه چی رو نابود کنن,"""تنفر"""
132,من بیکار نیستم واسه تونه نجاست کامنت بدم پدر سگ,"""تنفر"""
133,بچه چرا مریض شدهدستش چرا آنژیوکت بسته شده,"""غیرتنفر"""
134,ان شااهمیشه سالم و شاد کنار هم بخیر و خوشی زنگی کنید,"""غیرتنفر"""
135,مبارکا باشه چه زوجی چقدر به هم میان,"""غیرتنفر"""
136,خیلی به هم میاید هنرمندان دوستداشتنی,"""غیرتنفر"""
137,عشقتون تا ابد پایدار بانوی زیبا,"""غیرتنفر"""
138,بعضی‌ها میرن دستشویی بازوهاشون می‌افته روی زانوسون فک میکنند فایترنتو اگه سواد سیاسیداشتی حداقل یه امید دانایی میشدی الانبه خودت نگاه کن یه دلقک سیرکی اینو هم مدیون تلوزیون ایرانی زیپ شلوار یه کارمند از گوزیدن کدخدای شماکه بدتر نیستمن یک ادم معمولیملطفا انگ ساندیسفلانو نچسپونید,"""تنفر"""
139,از این انقدر میترسی سرتو توی برنامه هات بالا نمیاری مجبوری زیر زیرکی زنا رو دید بزنی,"""تنفر"""
140,شما همینی که مارو سال بردید عقب خودش یه سفر در زمانه یه سفر علمیه,"""تنفر"""
141,تومگه همکارت فوت نشده چرا تسلیت نذاشتی,"""غیرتنفر"""
142,دوتا عشق در یک قاب,"""غیرتنفر"""
143,اوف رفتی نیسان ابی رو خراب کردی سحر,"""تنفر"""
144,کاشکی خدا را واقعی دوست داشتن آدما,"""غیرتنفر"""
145,زن و شوهر باید جذاب باشن,"""غیرتنفر"""
146,رابطهای سلبریتی‌های ما مثل فیلم‌های ترکیه شدهسحر قریشی رو طارمی میکرد الان نوبت تتلو شده,"""تنفر"""
147,کونده به چی جاها دقت میکنه,"""تنفر"""
148,یه چیزی بگو چرا ساکتی بابا علنی کنید دگ تو پیجت عکس دو نفره بزار,"""غیرتنفر"""
149,دلی دوست دارم سحرجوناماجنگ ازطرف من نیست هم توهم میلیونها نفردیگه دیدن جنگ تحمیلیه سرد ونرمه با ویروس ازطرف مسئول وغیرمسئول,"""غیرتنفر"""
150,ماهم ی سروش جلیلی داریمتوآلمان باسمیرا خانم زندگی میکنههمیشه باگربه هاعشق میکنه و همیشه سرگربه‌ها باسمیرا دعوادارن وقهرمیکننآخه عشق ب گربه‌ها درحد مرگ حسادت میارهمراقب باشیدازماگفتن بود,"""غیرتنفر"""
151,عروسی کی دعوت میکنی آماده بشیم سحر تتل,"""غیرتنفر"""
152,چه کامنتایی چه حرفایی سرگرمی خوبیه,"""غیرتنفر"""
153,تو دیگه مهره سوخته شدی تو ایران انشالا دیگه نذارن کار کنی,"""تنفر"""
154,لعنت بر پدرت برای افکار پلیدت,"""تنفر"""
155,همینو کم داشتیم اینا برن سفر علمیشما وعلم کجاتاهمینجاهم علمی که داشتین گند زد به دینو ایمان بشریت,"""تنفر"""
156,دوست پسر منو کو کسی ندیدتش,"""غیرتنفر"""
157,مال اموال تتلو رو بالا نکشی,"""تنفر"""
158,روزی را آرزومندم بدون کوچکترین ردی از این مغز پوکیده‌ها عقب مانده,"""تنفر"""
159,زنده باد نوید کور بشه چشم حسود بره بمبره هر کی نوید و دوس ندارهبژی کرد,"""غیرتنفر"""
160,زنان امروزی که شبیه سرطانن,"""تنفر"""
161,با حجاب ک دیدمت خیلی جذاب و دلنواز بودی,"""غیرتنفر"""
162,سحر قریشی عالی هستی شما,"""غیرتنفر"""
163,واقعا خنده دارهجنگ زده ماییم بدبخت ماییم که چهارتا بیسواد صیانتمون میکنن,"""تنفر"""
164,سحر نصیحتی از طرف من نزار تتلو طعمتو زیاد بچشه یکم که مزت تو زبونش تکراری شد دیگه شیرینی قبلو براش نداشته باشی ولت میکنه باهاش سلیطه باش ولی بازم امیر ارزه داره هر طعمیو میخواد اراده کنه میتونه بچشه شبا توهم زمان وقت خودتو داره هرموقع سیرت شد فیتلتو میزنه هرری میری پی کارت توهم میدونی چیکار کنی پول نداشت پیش نبودی الان یکم جییاش پرشده پیشی بعدش موقعش برسه امیر بخواد کاری بات کنه توهم میدونی باهاش چیکار کنی,"""تنفر"""
165,شیرازگردی با گشت‌های تخت جمشید و پاسارگاد,"""غیرتنفر"""
166,چرا افرادی مثل سحر قریشی که هیچ هنری ندارن جز اینکه چهارتا فیلم آبکی اونم با خواهش و التماس بازی میکنه و ته بازیشم ختم میشه به خیانت رو فالوو میکنید اونوقت کلی پیج‌های هنری و نوازندگی و نقاشی و ورزشی و حتی فروش آنلان رو فالو نمیکنین ایشون چی توی پیجش داره که فالووراش باید باشن نزدیک ده میلیون اونوقت کلی بازیگرای طنز یا غیرطنزمون باید فالووراشون هزارتایی باشه,"""تنفر"""
167,تو از سینما رفتی من آرزو دارم که بازیگر شم,"""غیرتنفر"""
168,طارمی طی بیانیه‌ای به تتلو اعلام کرد,"""غیرتنفر"""
169,خاک توسرشون کنن ی مشت ازگل,"""تنفر"""
170,واقعا زشتی ادم زشتو نباید گفت زشته چص چص میکنن سیرت زیبا زارت تو ژس زشتم میگیری اخه تو بعد الان یعنی چی گرفتی تو صورتت یکاره ستا پست پشت هم,"""تنفر"""
171,یعنی خاک بر سرت اگه واقعیت داشته باشه داستان تتلومگه این در حد توه وای به خدا باورم نمیشه,"""غیرتنفر"""
172,طلبه از زمین و زمان طلب کاره,"""تنفر"""
173,عشقتون تا ابد یک روز پایدار دختر وطنم,"""غیرتنفر"""
174,تتلو شوهر بدیه بد می‌کنه,"""تنفر"""
175, از پیج امین فردین دیدی اخه افشاگری میکنه,"""غیرتنفر"""
176,جمشید قاسم پور کجایی داداش,"""غیرتنفر"""
177,همیشه عاشقانه کنار هم زندگی کنید,"""غیرتنفر"""
178,خوش باشی کنار آقا نوید,"""غیرتنفر"""
179,اون قلبه یعنی این رلی یابلاخره عروس شدی,"""غیرتنفر"""
180,خدا مادر محترم و همسر نازنینت را برات سالم و شاد برات نگه داره,"""غیرتنفر"""
181,مطمئنم که تتلو اولیه هرکی موافقه لایک کنه,"""غیرتنفر"""
182,با اینکه سینا رفته اما هنوزم از صدای تخمیش تو رادیو دارم مییسوزم,"""تنفر"""
183,بکوب لایکو به افتخار افغانستانی‌های عزیز,"""غیرتنفر"""
184,واقعا اگه رفتی با تتلو متاسفم برات دختر,"""تنفر"""
185,اونایی که اومدن کامنت بخونن کجان,"""تنفر"""
186,دوست دارم با زنت بخوابم,"""تنفر"""
187,اخی گوگولیه کی بودی تو,"""غیرتنفر"""
188,لنگه نداری سینا خیلی خوب توجیه می‌کنی این معلول حالهارا,"""تنفر"""
189,ادم با دادن به چه جاهایی که نمیرسه,"""تنفر"""
190,حاجی تو چرا باید  میلیون فالور داشته باشی چی داری اخه,"""تنفر"""
191,امام زمانی خیالی که میخواد منجی عالم بشریت بشه ولی نیاز به دعای منو وشما برای سلامتیش داره همون بهتر که ته چاه بمونه,"""تنفر"""
192,من قضاوتت نمیکنم سحر جان و مطمئنم انتخاب و اشتباهاتت ب خودت ربط داره و طرفدار بازیهای خوبت هستیم و خواهیم بود,"""غیرتنفر"""
193,مملکت فقط برای ایناست بقیه ول معطلن,"""تنفر"""
194,الان تتل رقیب عشقی جمشید قاسم پوره,"""غیرتنفر"""
195,چقد تحمل زیاد این کامنتارو چه جوری تحمل میکنی,"""غیرتنفر"""
196,هیچ عیبی نداره عزیزوم درست میشه همه چی,"""غیرتنفر"""
197,سحر خانوم خدا وکیلی تتلو شبی چند بار می‌کنتد فقط صادقانه جواب بده,"""تنفر"""
198,ولی این یه چیزیش هست,"""تنفر"""
199,چه گربه‌ی خوشگلی سکینه جون,"""غیرتنفر"""
200,خشکل جذاب فقط الناز شاکردوست خشکل خانمه واقعا الان از حسادت کامنتو پاک میکنه,"""غیرتنفر"""
201,تو کی سایت قمارتو راه میندازی,"""تنفر"""
202,حواست ب عمو باشه بار اخرت باشه عکس میگیری,"""تنفر"""
203,حوصلم سررفته بود اومدم کامنت بخونم پوکیدم عجبا,"""غیرتنفر"""
204,حاج خانوم مکه چه خبر,"""تنفر"""
205, تا آزمایش بده مریض نشی از تتلو,"""تنفر"""
206,طلبه از تلمبه میاد روش تولید اخونده,"""تنفر"""
207,حیف حیف از او ک به اون دادی,"""تنفر"""
208,رفتی بیش تتلو خودتو مثل آفتاب پرس رنگ کنی,"""تنفر"""
209,زنان را را در خیابان‌های پور از گیل و لای انداختن و این یک تحقیر است,"""تنفر"""
210,پیشی اسهال استفراق شده طفلکی آنژیکت بستن براش,"""غیرتنفر"""
211,عاشقتم فرشته با اون توله و همسر مهربانت,"""غیرتنفر"""
212,خدا لعنتت کنه که نیسان آبیا گند زدی توش,"""تنفر"""
213,اگر موجودی بی حاصل‌تر و پرروتر و وقیح‌تر از اخوند نام ببرید جایزه دارینالبته بدون توهین به حیوانات,"""تنفر"""
214,جمشیدقاسمپور بس نبودحالا نوبته امیرمونهپاتو بکش بیرون,"""تنفر"""
215,متاسفم برا رابطه جدیدت با یه اشغال خیلی از چشم ملت افتادی فیلمات هم پخش شد اینیستا واقعا برا هنرمندی مثل تو متاسفم تا دوزار بوی پول به مشامت میخوره از جات در میای جفت دنیا جهان بخت میشی آبروی نداشتتو از دست میدی این کامنت بماند به یادگار اسفند,"""تنفر"""
216,خوشبخت باشید همیشه به یاری خدا,"""غیرتنفر"""
217,با پول جمشید قاسم پور رقتی پیش تتلو,"""تنفر"""
218,جمیله میدونه با خدیجه‌ای,"""غیرتنفر"""
219,خاک برسرتآبرو شرف چندین ساله خودت رابردیطرف میره پیشرفت میکنهچارتا بازیگر خارجی میبینهباچارتا بازیگر سینمایی هالیوود دیدارمیکنهتوهم رفتی باامیرتتلوهرچی اون بازیگرای قبلی که رفتن پیش تتلو خوشبخت شدن توهم بعدیشونیمحمدرضا گلزار یه بازیگرهمریم امیرجلالی یه بازیگرهاکبرعبدی یه بازیگره رامبدجوان یه بازیگرهاثلا ایناشخصیت وشانشون اجازه نمیده که با آدمای مزخرفی مثل امیرتتلو دیدار کننشان وشخصیت وآبروی خودتا خراب نکنتتلو آدمی نیست که یه زره انسانیت ودرستی توکارش باشهپنج ساله ترکیه هست هیچ کشوری قبولش نکردهبنظرت چرا,"""تنفر"""
220,مبارک باشهانشاالله خوشبخت بشین درکنارهم تا آخرعمر عشقتون پایداربمونهتبرزک میگم به طرفدارهای آقای امیرتتلو سلطان و طرفدارهای خان قریشی,"""غیرتنفر"""
221,سحر قریشی مثل پراید مدل هشتاد و پنج میمونههز چند وقت یکبار معامله میشهتنها کسی ک سوارش ر نشدهخواجه حافظ شیرازی بوده,"""تنفر"""
222,زمانی ک خدا داشت شعور میداد اینا تو صف نبودن دیگ,"""تنفر"""
223,یه مشت دزد بی اصل و نسب افتادند سر منابع مالی میخوان فقط غارت کنند زبانشان هم دراز است,"""تنفر"""
224,ولی خوب پای فالور با پول زیاد وسطه دیگه کل اعتقادو حیثیتشون هدفشو شده این که میگن یه چن روز حاشیه درست میکنیم میریم پیشش میمونیم حالا چند بارم میخواد بکنه دیگه چیزی نمیشه ولی پول خوب درمیاریم این شده تمام هدف این خانوم و امثالش واقعا به گوه کشیدن افکار دخترای ایرانو امثال این خانوم,"""تنفر"""
225,خیلی زن با جر بزه هستی اینو جدی میگم واقعا آفرین بهت ولی من تو عکسات یه عقده درونت میبینم که هنوز هست و حس میکنم یکم لات باشی موفق باشی با تتلو بهت حسابی خوش بگ ذره تا مدتی که باهمین,"""غیرتنفر"""
226,چقدر دوست دارین چرت پرت بگین شایعه زیاده سرتون تو زندگی خودتون باشه گند نزدین همین حرفای شماهاست که نمیشه دهنتون رو بست دیگه هیچی نمیگه برای اینکه سریع منتظر هستین شایعه دیگه‌ای درست کنین آرامش رو ازشون گرفتین هر کاری میکنن زندگی خودشونه به ما‌ها ربطی نداره حال آدما به هم میزنین بازیگری چیه دیگه,"""غیرتنفر"""
227,یه شهر زیرپست کامنت گذاشتن,"""غیرتنفر"""
228,اینا زیپهاشون هیچوقت بسته نمیشه عادت دارن باز باشه اصلا چهل ساله زیپ هاشون خرابه همینطور باز مونده,"""تنفر"""
229,بع به حاج خانم مبارکه,"""غیرتنفر"""
230,تتلو چه کسیو میکنه دافه سحر قریشی روی تخت تتلوهم بغلش میکنش,"""تنفر"""
231,چه غلطا سفر علمیسفر شما فقط از کمر به پایین تف,"""تنفر"""
232,ازصدای سخن عشق ندیدم خوشتر,"""غیرتنفر"""
233,این چرا اینجوری کرده بوس میخواد,"""تنفر"""
234,حیف سینا چه زن زشت داره,"""تنفر"""
235,سحر راسته میگن کصتو گذاشتی حراج,"""تنفر"""
236,من براش مرد بدنساز بودم ولی اون تتل بوکسور دوست داشت,"""غیرتنفر"""
237,پیوندت باتنهایک شب تتلو مبارک,"""غیرتنفر"""
238,خانوم حاج تتل ی کلیپ بده بیرون همه ملت رو تو زوم و زوم کردن بوم بوم کردن,"""غیرتنفر"""
239,ی لحظه فک کردم تویی,"""غیرتنفر"""
240,زمان همه چی روعوض میکن,"""تنفر"""
241,وای چقد کیوته این ادم,"""غیرتنفر"""
242,این کیه چقدر شبیه حمید هیراد,"""غیرتنفر"""
243,کاش خدابه این قشرهم مغز داده بود,"""تنفر"""
244,این خوب میکوبه یا طارمی,"""تنفر"""
245,تو هم به کثیف خونه‌ی تتلو و رفقاش پیوستی شخصیتت بیش از اینم نیست,"""تنفر"""
246,هر اسمی که داشته باشند بازهم بانوی زیبا و شایسته‌ی سینما هستن و تبارک الله احسن الخالقین,"""غیرتنفر"""
247,بزار دادش ما خوش باش,"""غیرتنفر"""
